date,max_temperature,precipitation,snow_depth,dow,weekday,trips
2017-01-01T00:00:00Z,48,0,0,0,FALSE,12266
2017-01-02T00:00:00Z,41,0.21,0,1,TRUE,8264
2017-01-03T00:00:00Z,43,0.58,0,2,TRUE,13925
2017-01-04T00:00:00Z,52,0,0,3,TRUE,32283
2017-01-05T00:00:00Z,34,0,0,4,TRUE,27489
2017-01-06T00:00:00Z,33,0.05,1.2,5,TRUE,23523
2017-01-07T00:00:00Z,26,0.32,0,6,FALSE,4311
2017-01-08T00:00:00Z,25,0,3.9,0,FALSE,6286
2017-01-09T00:00:00Z,23,0,3.1,1,TRUE,15656
2017-01-10T00:00:00Z,46,0,3.1,2,TRUE,22872
2017-01-11T00:00:00Z,52,0.52,0,3,TRUE,31465
2017-01-12T00:00:00Z,66,0.05,0,4,TRUE,38188
2017-01-13T00:00:00Z,62,0,0,5,TRUE,32106
2017-01-14T00:00:00Z,34,0.12,0,6,FALSE,12915
2017-01-15T00:00:00Z,38,0,1.2,0,FALSE,15859
2017-01-16T00:00:00Z,43,0,0,1,TRUE,22572
2017-01-17T00:00:00Z,42,0.35,0,2,TRUE,18296
2017-01-18T00:00:00Z,41,0.06,0,3,TRUE,30182
2017-01-19T00:00:00Z,49,0,0,4,TRUE,35215
2017-01-20T00:00:00Z,45,0.1,0,5,TRUE,25976
2017-01-21T00:00:00Z,49,0,0,6,FALSE,24047
2017-01-22T00:00:00Z,48,0.05,0,0,FALSE,18796
2017-01-23T00:00:00Z,44,1.16,0,1,TRUE,15473
2017-01-24T00:00:00Z,38,1.18,0,2,TRUE,12984
2017-01-25T00:00:00Z,51,0,0,3,TRUE,35713
2017-01-26T00:00:00Z,56,0.02,0,4,TRUE,32019
2017-01-27T00:00:00Z,43,0,0,5,TRUE,31433
2017-01-28T00:00:00Z,39,0,0,6,FALSE,20008
2017-01-29T00:00:00Z,43,0,0,0,FALSE,20725
2017-01-30T00:00:00Z,37,0,0,1,TRUE,28840
2017-01-31T00:00:00Z,34,0.06,0,2,TRUE,24725
2017-02-01T00:00:00Z,47,0,0,3,TRUE,34297
2017-02-02T00:00:00Z,45,0,0,4,TRUE,33507
2017-02-03T00:00:00Z,33,0,0,5,TRUE,28751
2017-02-04T00:00:00Z,34,0,0,6,FALSE,17948
2017-02-05T00:00:00Z,43,0,0,0,FALSE,18907
2017-02-06T00:00:00Z,49,0,0,1,TRUE,32190
2017-02-07T00:00:00Z,42,0.27,0,2,TRUE,22684
2017-02-08T00:00:00Z,62,0.03,0,3,TRUE,38781
2017-02-10T00:00:00Z,32,0,7.9,5,TRUE,1956
2017-02-11T00:00:00Z,48,0,5.1,6,FALSE,8501
2017-02-12T00:00:00Z,40,0.46,2,0,FALSE,5657
2017-02-13T00:00:00Z,39,0.02,2,1,TRUE,23449
2017-02-14T00:00:00Z,41,0,2,2,TRUE,29018
2017-02-15T00:00:00Z,47,0,0,3,TRUE,31176
2017-02-16T00:00:00Z,35,0,0,4,TRUE,28514
2017-02-17T00:00:00Z,41,0,0,5,TRUE,27779
2017-02-18T00:00:00Z,63,0,0,6,FALSE,24822
2017-02-19T00:00:00Z,65,0,0,0,FALSE,26600
2017-02-20T00:00:00Z,55,0,0,1,TRUE,27215
2017-02-21T00:00:00Z,47,0,0,2,TRUE,30990
2017-02-22T00:00:00Z,57,0,0,3,TRUE,36470
2017-02-23T00:00:00Z,65,0,0,4,TRUE,39464
2017-02-24T00:00:00Z,70,0,0,5,TRUE,42241
2017-02-25T00:00:00Z,63,0.54,0,6,FALSE,27718
2017-02-26T00:00:00Z,44,0,0,0,FALSE,21861
2017-02-27T00:00:00Z,54,0,0,1,TRUE,34368
2017-02-28T00:00:00Z,59,0,0,2,TRUE,39897
2017-03-01T00:00:00Z,70,0.12,0,3,TRUE,39057
2017-03-02T00:00:00Z,64,0,0,4,TRUE,34210
2017-03-03T00:00:00Z,39,0,0,5,TRUE,29792
2017-03-04T00:00:00Z,30,0,0,6,FALSE,14777
2017-03-05T00:00:00Z,37,0,0,0,FALSE,14918
2017-03-06T00:00:00Z,45,0,0,1,TRUE,31145
2017-03-07T00:00:00Z,56,0.1,0,2,TRUE,28846
2017-03-08T00:00:00Z,59,0.02,0,3,TRUE,41021
2017-03-09T00:00:00Z,61,0,0,4,TRUE,42593
2017-03-10T00:00:00Z,47,0.31,0,5,TRUE,17990
2017-03-11T00:00:00Z,29,0,1.2,6,FALSE,14369
2017-03-12T00:00:00Z,29,0,0,0,FALSE,12803
2017-03-13T00:00:00Z,36,0,0,1,TRUE,26587
2017-03-17T00:00:00Z,47,0,3.9,5,TRUE,6757
2017-03-18T00:00:00Z,39,0.08,3.1,6,FALSE,3907
2017-03-19T00:00:00Z,47,0,3.1,0,FALSE,9637
2017-03-20T00:00:00Z,52,0,0,1,TRUE,26244
2017-03-21T00:00:00Z,59,0,0,2,TRUE,35121
2017-03-22T00:00:00Z,50,0,0,3,TRUE,26209
2017-03-23T00:00:00Z,42,0,0,4,TRUE,28677
2017-03-24T00:00:00Z,57,0,0,5,TRUE,32354
2017-03-25T00:00:00Z,62,0.01,0,6,FALSE,24803
2017-03-26T00:00:00Z,42,0.14,0,0,FALSE,17927
2017-03-27T00:00:00Z,53,0.26,0,1,TRUE,25154
2017-03-28T00:00:00Z,46,0.72,0,2,TRUE,21066
2017-03-29T00:00:00Z,60,0,0,3,TRUE,39797
2017-03-30T00:00:00Z,52,0.01,0,4,TRUE,37114
2017-03-31T00:00:00Z,43,1.51,0,5,TRUE,6811
2017-04-01T00:00:00Z,48,0,0,6,FALSE,22004
2017-04-02T00:00:00Z,63,0,0,0,FALSE,31676
2017-04-03T00:00:00Z,63,0.03,0,1,TRUE,40639
2017-04-04T00:00:00Z,51,1.18,0,2,TRUE,29172
2017-04-05T00:00:00Z,65,0,0,3,TRUE,44570
2017-04-06T00:00:00Z,53,0.73,0,4,TRUE,17701
2017-04-07T00:00:00Z,51,0,0,5,TRUE,34393
2017-04-08T00:00:00Z,57,0,0,6,FALSE,30076
2017-04-09T00:00:00Z,67,0,0,0,FALSE,33797
2017-04-10T00:00:00Z,74,0,0,1,TRUE,44807
2017-04-11T00:00:00Z,80,0,0,2,TRUE,50132
2017-04-12T00:00:00Z,76,0.02,0,3,TRUE,47355
2017-04-13T00:00:00Z,65,0,0,4,TRUE,46736
2017-04-14T00:00:00Z,66,0,0,5,TRUE,43294
2017-04-15T00:00:00Z,65,0,0,6,FALSE,31739
2017-04-16T00:00:00Z,87,0,0,0,FALSE,32867
2017-04-17T00:00:00Z,74,0,0,1,TRUE,46800
2017-04-18T00:00:00Z,65,0,0,2,TRUE,48691
2017-04-19T00:00:00Z,54,0,0,3,TRUE,43388
2017-04-20T00:00:00Z,66,0.17,0,4,TRUE,41347
